A	Alimentary tract and metabolism
B05XA31	Electrolytes in combination with other drugs
B05XB	Amino acids
B05XB01	Arginine hydrochloride
B05XB02	Alanyl glutamine
B05XB03	Lysine
B05XC	Vitamins
B05XX	Other I.V. solution additives
B05XX02	Trometamol
B05Z	Hemodialytics and hemofiltrates
B05ZA	Hemodialytics, concentrates
B05ZB	Hemofiltrates
B06	Other hematological agents
B06A	Other hematological agents
B06AA	Enzymes
B06AA02	Fibrinolysin and desoxyribonuclease
B06AA03	Hyaluronidase
B06AA04	Chymotrypsin
B06AA07	Trypsin
B06AA10	Desoxyribonuclease
B06AA11	Bromelains
B06AA55	Streptokinase, combinations
B06AB	Other hem products
B06AB01	Hematin
C	Cardiovascular system
C01	Cardiac therapy
C01A	Cardiac glycosides
C01AA	Digitalis glycosides
C01AA01	Acetyldigitoxin
C01AA02	Acetyldigoxin
C01AA03	Digitalis leaves
C01AA04	Digitoxin
C01AA05	Digoxin
C01AA06	Lanatoside C
C01AA07	Deslanoside
C01AA08	Metildigoxin
C01AA09	Gitoformate
C01AA52	Acetyldigoxin, combinations
C01AB	Scilla glycosides
C01AB01	Proscillaridin
C01AB51	Proscillaridin, combinations
C01AC	Strophantus glycosides
C01AC01	G-strophanthin
C01AC03	Cymarin
C01AX	Other cardiac glycosides
C01AX02	Peruvoside
C01B	Antiarrhythmics, class I and III
C01BA	Antiarrhythmics, class IA
C01BA01	Quinidine
C01BA02	Procainamide
C01BA03	Disopyramide
C01BA04	Sparteine
C01BA05	Ajmaline
C01BA08	Prajmaline
C01BA12	Lorajmine
C01BA51	Quinidine, combinations excl. psycholeptics
C01BA71	Quinidine, combinations with psycholeptics
C01BB	Antiarrhythmics, class IB
C01BB01	Lidocaine
C01BB02	Mexiletine
C01BB03	Tocainide
C01BB04	Aprindine
C01BC	Antiarrhythmics, class IC
C01BC03	Propafenone
C01BC04	Flecainide
C01BC07	Lorcainide
C01BC08	Encainide
C01BD	Antiarrhythmics, class III
C01BD01	Amiodarone
C01BD02	Bretylium tosilate
C01BD03	Bunaftine
C01BD04	Dofetilide
C01BD05	Ibutilide
C01BG	Other class I antiarrhythmics
C01BG01	Moracizine
C01BG07	Cibenzoline
C01C	Cardiac stimulants excl. cardiac glycosides
C01CA	Adrenergic and dopaminergic agents
C01CA01	Etilefrine
C01CA02	Isoprenaline
C01CA03	Norepinephrine
C01CA04	Dopamine
C01CA05	Norfenefrine
C01CA06	Phenylephrine
C01CA07	Dobutamine
C01CA08	Oxedrine
C01CA09	Metaraminol
C01CA10	Methoxamine
C01CA11	Mephentermine
C01CA12	Dimetofrine
C01CA13	Prenalterol
C01CA14	Dopexamine
C01CA15	Gepefrine
C01CA16	Ibopamine
C01CA17	Midodrine
C01CA18	Octopamine
C01CA19	Fenoldopam
C01CA21	Cafedrine
C01CA22	Arbutamine
C01CA23	Theodrenaline
C01CA24	Epinephrine
C01CA30	Combinations
C01CA51	Etilefrine, combinations
C01CE	Phosphodiesterase inhibitors
C01CE01	Amrinone
C01CE02	Milrinone
C01CE03	Enoximone
C01CE04	Bucladesine
C01CX	Other cardiac stimulants
C01CX06	Angiotensinamide
C01CX07	Xamoterol
C01CX08	Levosimendan
C01D	Vasodilators used in cardiac diseases
C01DA	Organic nitrates
C01DA02	Glyceryl trinitrate
C01DA04	Methylpropylpropanediol dinitrate
C01DA05	Pentaerithrityl tetranitrate
C01DA07	Propatylnitrate
C01DA08	Isosorbide dinitrate
C01DA09	Trolnitrate
C01DA13	Eritrityl tetranitrate
C01DA14	Isosorbide mononitrate
C01DA20	Organic nitrates in combination
C01DA38	Tenitramine
C01DA52	Glyceryl trinitrate, combinations
C01DA54	Methylpropylpropanediol dinitrate, combinations
C01DA55	Pentaerithrityl tetranitrate, combinations
C01DA57	Propatylnitrate, combinations
C01DA58	Isosorbide dinitrate, combinations
C01DA59	Trolnitrate, combinations
C01DA63	Eritrityl tetranitrate, combinations
C01DA70	Organic nitrates in combination with psycholeptics
C01DB	Quinolone vasodilators
C01DB01	Flosequinan
C01DX	Other vasodilators used in cardiac diseases
C01DX01	Itramin tosilate
C01DX02	Prenylamine
C01DX03	Oxyfedrine
C01DX04	Benziodarone
C01DX05	Carbocromen
C01DX06	Hexobendine
C01DX07	Etafenone
C01DX08	Heptaminol
C01DX09	Imolamine
C01DX10	Dilazep
C01DX11	Trapidil
C01DX12	Molsidomine
C01DX13	Efloxate
C01DX14	Cinepazet
C01DX15	Cloridarol
C01DX16	Nicorandil
C01DX18	Linsidomine
C01DX51	Itramin tosilate, combinations
C01DX52	Prenylamine, combinations
C01DX53	Oxyfedrine, combinations
C01DX54	Benziodarone, combinations
C01E	Other cardiac preparations
C01EA	Prostaglandins
C01EA01	Alprostadil
C01EB	Other cardiac preparations
C01EB02	Camphora
C01EB03	Indometacin
C01EB04	Crataegus glycosides
C01EB05	Creatinolfosfate
C01EB06	Fosfocreatine
C01EB07	Fructose 1,6-diphosphate
C01EB09	Ubidecarenone
C01EB10	Adenosine
C01EB11	Tiracizine
C01EB12	Tedisamil
C01EB13	Acadesine
C01EB15	Trimetazidine
C01EX	Other cardiac combination products
C02	Antihypertensives
C02A	Antiadrenergic agents, centrally acting
C02AA	Rauwolfia alkaloids
C02AA01	Rescinnamine
C02AA02	Reserpine
C02AA03	Combinations of rauwolfia alkaloids
C02AA04	Rauwolfia alkaloids, whole root
C02AA05	Deserpidine
C02AA06	Methoserpidine
C02AA07	Bietaserpine
C02AA52	Reserpine, combinations
C02AA53	Combinations of rauwolfia alkaloids, combinations
C02AA57	Bietaserpine, combinations
C02AB	Methyldopa
C02AB01	Methyldopa (levorotatory)
C02AB02	Methyldopa (racemic)
C02AC	Imidazoline receptor agonists
C02AC01	Clonidine
C02AC02	Guanfacine
C02AC04	Tolonidine
C02AC05	Moxonidine
C02AC06	Rilmenidine
C02B	Antiadrenergic agents, ganglion-blocking
C02BA	Sulfonium derivatives
C02BA01	Trimetaphan
C02BB	Secondary and tertiary amines
C02BB01	Mecamylamine
C02BC	Bisquaternary ammonium compounds
C02C	Antiadrenergic agents, peripherally acting
C02CA	Alpha-adrenoceptor antagonists
C02CA01	Prazosin
C02CA02	Indoramin
C02CA03	Trimazosin
C02CA04	Doxazosin
C02CA06	Urapidil
C02CC	Guanidine derivatives
C02CC01	Betanidine
C02CC02	Guanethidine
C02CC03	Guanoxan
C02CC04	Debrisoquine
C02CC05	Guanoclor
C02CC06	Guanazodine
C02CC07	Guanoxabenz
C02D	Arteriolar smooth muscle, agents acting on
C02DA	Thiazide derivatives
C02DA01	Diazoxide
C02DB	Hydrazinophthalazine derivatives
C02DB01	Dihydralazine
C02DB02	Hydralazine
C02DB03	Endralazine
C02DB04	Cadralazine
C02DC	Pyrimidine derivatives
C02DC01	Minoxidil
C02DD	Nitroferricyanide derivatives
C02DD01	Nitroprusside
C02DG	Guanidine derivatives
C02DG01	Pinacidil
C02K	Other antihypertensives
C02KA	Alkaloids, excl. rauwolfia
C02KA01	Veratrum
C02KB	Tyrosine hydroxylase inhibitors
C02KB01	Metirosine
C02KC	MAO inhibitors
C02KC01	Pargyline
C02KD	Serotinin antagonists
C02KD01	Ketanserin
C02L	Antihypertensives and diuretics in combination
C02LA	Rauwolfia alkaloids and diuretics in combination
C02LA01	Reserpine and diuretics
C02LA02	Rescinnamine and diuretics
C02LA03	Deserpidine and diuretics
C02LA04	Methoserpidine and diuretics
C02LA07	Bietaserpine and diuretics
C02LA08	Rauwolfia alkaloids, whole root and diuretics
C02LA09	Syrosingopine and diuretics
C02LA50	Comb. of rauwolfia alkaloids and diuretics incl. other combinations
C02LA51	Reserpine and diuretics, combinations with other drugs
C02LA52	Rescinnamine and diuretics, combinations with other drugs
C02LA71	Reserpine and diuretics, combinations with psycholeptics
C02LB	Methyldopa and diuretics in combination
C02LB01	Methyldopa (levorotatory) and diuretics
C02LC	Imidazoline receptor agonists in combination with diuretics
C02LC01	Clonidine and diuretics
C02LC51	Clonidine and diuretics, combinations with other drugs
C02LE	Alpha-adrenoceptor blocking agents and diuretics
C02LE01	Prazosin and diuretics
C02LF	Guanidine derivatives and diuretics
C02LF01	Guanethidine and diuretics
C02LG	Hydrazinophthalazine derivatives and diuretics
C02LG01	Dihydralazine and diuretics
C02LG02	Hydralazine and diuretics
C02LG03	Picodralazine and diuretics
C02LG51	Dihydralazine and diuretics, combinations with other drugs
C02LG73	Picodralazine and diuretics, combinations with psycholeptics
C02LK	Alkaloids, excl. rauwolfia, in combination with diuretics
C02LK01	Veratrum and diuretics
C02LL	MAO inhibitors and diuretics
C02LL01	Pargyline and diuretics
C02LN	Serotonin antagonists and diuretics
C02LX	Other antihypertensives and diuretics
C02LX01	Pinacidil and diuretics
C02N	Combinations of antihypertensives
C03	Diuretics
C03A	Low-ceiling diuretics, thiazides
C03AA	Thiazides, plain
C03AA01	Bendroflumethiazide
C03AA02	Hydroflumethiazide
C03AA03	Hydrochlorothiazide
C03AA04	Chlorothiazide
C03AA05	Polythiazide
C03AA06	Trichlormethiazide
C03AA07	Cyclopenthiazide
C03AA08	Methyclothiazide
C03AA09	Cyclothiazide
C03AA13	Mebutizide
C03AB	Thiazides and potassium in combination
C03AB01	Bendroflumethiazide and potassium
C03AB02	Hydroflumethiazide and potassium
C03AB03	Hydrochlorothiazide and potassium
C03AB04	Chlorothiazide and potassium
C03AB05	Polythiazide and potassium
C03AB06	Trichlormethiazide and potassium
C03AB07	Cyclopenthiazide and potassium
C03AB08	Methyclothiazide and potassium
C03AB09	Cyclothiazide and potassium
C03AH	Thiazides, combinations with psycholeptics and/or analgesics
C03AH01	Chlorothiazide, combinations
C03AH02	Hydroflumethiazide, combinations
C03AX	Thiazides, combinations with other drugs
C03AX01	Hydrochlorothiazide, combinations
C03B	Low-ceiling diuretics, excl. thiazides
C03BA	Sulfonamides, plain
C03BA02	Quinethazone
C03BA03	Clopamide
C03BA04	Chlortalidone
C03BA05	Mefruside
C03BA07	Clofenamide
C03BA08	Metolazone
C03BA09	Meticrane
C03BA10	Xipamide
C03BA11	Indapamide
C03BA12	Clorexolone
C03BA13	Fenquizone
C03BA82	Clorexolone, comb. with psycholeptics
C03BB	Sulfonamides and potassium in combination
C03BB02	Quinethazone and potassium
C03BB03	Clopamide and potassium
C03BB04	Chlortalidone and potassium
C03BB05	Mefruside and potassium
C03BB07	Clofenamide and potassium
C03BC	Mercurial diuretics
C03BC01	Mersalyl
C03BD	Xanthine derivatives
C03BD01	Theobromine
C03BK	Sulfonamides, combinations with other drugs
C03BX	Other low-ceiling diuretics
C03BX03	Cicletanine
C03C	High-ceiling diuretics
C03CA	Sulfonamides, plain
C03CA01	Furosemide
C03CA02	Bumetanide
C03CA03	Piretanide
C03CA04	Torasemide
C03CB	Sulfonamides and potassium in combination
C03CB01	Furosemide and potassium
C03CB02	Bumetanide and potassium
C03CC	Aryloxyacetic acid derivatives
C03CC01	Etacrynic acid
C03CC02	Tienilic acid
C03CD	Pyrazolone derivatives
C03CD01	Muzolimine
C03CX	Other high-ceiling diuretics
C03CX01	Etozolin
C03D	Potassium-sparing agents
C03DA	Aldosterone antagonists
C03DA01	Spironolactone
C03DA02	Potassium canrenoate
C03DA03	Canrenone
C03DB	Other potassium-sparing agents
C03DB01	Amiloride
C03DB02	Triamterene
C03E	Diuretics and potassium-sparing agents in combination
C03EA	Low-ceiling diuretics and potassium-sparing agents
C03EA01	Hydrochlorothiazide and potassium-sparing agents
C03EA02	Trichlormethiazide and potassium-sparing agents
C03EA03	Epitizide and potassium-sparing agents
C03EA04	Altizide and potassium-sparing agents
C03EA05	Mebutizide and potassium-sparing agents
C03EA06	Chlortalidone and potassium-sparing agents
C03EA07	Cyclopenthiazide and potassium-sparing agents
C03EA12	Metolazone and potassium-sparing agents
C03EA13	Bendroflumethiazide and potassium-sparing agents
C03EA14	Butizide and potassium-sparing agents
C03EB	High-ceiling diuretics and potassium-sparing agents
C03EB01	Furosemide and potassium-sparing agents
C03EB02	Bumetanide and potassium-sparing agents
C04	Peripheral vasodilators
C04A	Peripheral vasodilators
C04AA	2-animo-1-phenylethanol derivatives
C04AA01	Isoxsuprine
C04AA02	Buphenine
C04AA31	Bamethan
C04AB	Imidazoline derivatives
C04AB01	Phentolamine
C04AB02	Tolazoline
C04AC	Nicotinic acid and derivatives
C04AC01	Nicotinic acid
C04AC02	Nicotinyl alcohol (pyridylcarbinol)
C04AC03	Inositol nicotinate
C04AC07	Ciclonicate
C04AD	Purine derivatives
C04AD01	Pentifylline
C04AD02	Xantinol nicotinate
C04AD03	Pentoxifylline
C04AD04	Etofylline nicotinate
C04AE	Ergot alkaloids
C04AE01	Ergoloid mesylates
C04AE02	Nicergoline
C04AE04	Dihydroergocristine
C04AE51	Ergoloid mesylates, combinations
C04AE54	Dihydroergocristine, combinations
C04AF	Enzymes
C04AF01	Kallidinogenase
C04AX	Other peripheral vasodilators
C04AX01	Cyclandelate
C04AX02	Phenoxybenzamine
C04AX07	Vincamine
C04AX10	Moxisylyte
C04AX11	Bencyclane
C04AX13	Piribedil
C04AX17	Vinburnine
C04AX19	Sulcotidil
C04AX20	Buflomedil
C04AX21	Naftidrofuryl
C04AX23	Butalamine
C04AX24	Visnadine
C04AX26	Cetiedil
C04AX27	Cinepazide
C04AX28	Ifenprodil
C04AX30	Azapetine
C05	Vasoprotectives
C05A	Antihemorrhoidals for topical use
C05AA	Products containing corticosteroids
C05AA01	Hydrocortisone
C05AA04	Prednisolone
C05AA05	Betamethasone
C05AA06	Fluorometholone
C05AA08	Fluocortolone
C05AA09	Dexamethasone
C05AA10	Fluocinolone acetonide
C05AA11	Fluocinonide
C05AB	Products containing antibiotics
C05AD	Products containing local anesthetics
C05AD01	Lidocaine
C05AD02	Tetracaine
C05AD03	Benzocaine
C05AD04	Cinchocaine
C05AD05	Procaine
C05AD06	Oxetacaine
C05AD07	Pramocaine
C05AX	Other antihemorrhoidals for topical use
C05AX01	Aluminium preparations
C05AX02	Bismuth preparations, combinations
C05AX03	Other preparations, combinations
C05AX04	Zinc preparations
C05AX05	Tribenoside
C05B	Antivaricose therapy
C05BA	Heparins or heparinoids for topical use
C05BA01	Organo-heparinoid
C05BA02	Sodium apolate
C05BA03	Heparin
C05BA04	Pentosan polysulfate sodium
C05BA51	Heparinoid, combinations
C05BA53	Heparin, combinations
C05BB	Sclerosing agents for local injection
C05BB01	Monoethanolamine oleate
C05BB02	Polidocanol
C05BB03	Invert sugar
C05BB04	Sodium tetradecyl sulfate
C05BB05	Phenol
C05BB56	Glucose, combinations
C05BX	Other sclerosing agents
C05BX01	Calcium dobesilate
C05BX51	Calcium dobesilate, combinations
C05C	Capillary stabilizing agents
C05CA	Bioflavinoids
C05CA01	Rutoside
C05CA02	Monoxerutin
C05CA03	Diosmin
C05CA04	Troxerutin
C05CA05	Hidrosmin
C05CA51	Rutoside, combinations
C05CA53	Diosmin, combinations
C05CA54	Troxerutin, combinations
C05CX	Other capillary stabilizing agents
C05CX01	Tribenoside
C07	Beta blocking agents
C07A	Beta blocking agents
C07AA	Beta blocking agents, non-selective
C07AA01	Alprenolol
C07AA02	Oxprenolol
C07AA03	Pindolol
C07AA05	Propranolol
C07AA06	Timolol
C07AA07	Sotalol
C07AA12	Nadolol
C07AA14	Mepindolol
C07AA15	Carteolol
C07AA16	Tertatolol
C07AA17	Bopindolol
C07AA19	Bupranolol
C07AA23	Penbutolol
C07AA27	Cloranolol
C07AA57	Sotalol, combination packages
C07AB	Beta blocking agents, selective
C07AB01	Practolol
C07AB02	Metoprolol
C07AB03	Atenolol
C07AB04	Acebutolol
C07AB05	Betaxolol
C07AB06	Bevantolol
C07AB07	Bisoprolol
C07AB08	Celiprolol
C07AB09	Esmolol
C07AB10	Epanolol
C07AB11	S-atenolol
C07AB12	Nebivolol
C07AB13	Talinolol
C07AB52	Metoprolol, combination packages
C07AG	Alpha and beta blocking agents
C07AG01	Labetalol
C07AG02	Carvedilol
C07B	Beta blocking agents and thiazides
C07BA	Beta blocking agents, non-selective, and thiazides
C07BA02	Oxprenolol and thiazides
C07BA05	Propranolol and thiazides
C07BA06	Timolol and thiazides
C07BA07	Sotalol and thiazides
C07BA12	Nadolol and thiazides
C07BA68	Metipranolol and thaizides, combinations
C07BB	Beta blocking agents, selective, and thiazides
C07BB02	Metoprolol and thiazides
C07BB03	Atenolol and thiazides
C07BB04	Acebutolol and thiazides
C07BB06	Bevantolol and thiazides
C07BB07	Bisoprolol and thiazides
C07BB52	Metoprolol and thiazides, combinations
C07BG	Alpha and beta blocking agents and thiazides
C07BG01	Labetalol and thiazides
C07C	Beta blocking agents and other diuretics
C07CA	Beta blocking agents, non-selective, and other diuretics
C07CA02	Oxprenolol and other diuretics
C07CA03	Pindolol and other diuretics
C07CA17	Bopindolol and other diuretics
C07CA23	Penbutolol and other diuretics
C07CB	Beta blocking agents, selective, and other diuretics
C07CB02	Metoprolol and other diuretics
C07CB03	Atenolol and other diuretics
C07CB53	Atenolol and other diuretics, combinations
C07CG	Alpha and beta blocking agents and other diuretics
C07CG01	Labetalol and other diuretics
C07D	Beta blocking agents, thiazides and other diuretics
C07DA	Beta blocking agents, non-selective, thiazides and other diuretics
C07DA06	Timolol, thiazides and other diuretics
C07DB	Beta blocking agents, selective, thiazides and other diuretics
C07DB01	Atenolol, thiazides and other diuretics
C07E	Beta blocking agents and vasodilators
C07EA	Beta blocking agents, non-selective, and vasodilators
C07EB	Beta blocking agents, selective, and vasodilators
C07F	Beta blocking agents and other antihypertensives
C07FA	Beta blocking agents, non-selective, and other antihypertensives
C07FA05	Propranolol and other antihypertensives
C07FB	Beta blocking agents, selective, and other antihypertensives
C07FB02	Metoprolol and other antihypertensives
C07FB03	Atenolol and other hypertensives
C08	Calcium channel blockers
C08C	Selective calcium channel blockers with mainly vascular effects
C08CA	Dihydropyridine derivatives
C08CA01	Amlodipine
C08CA02	Felodipine
C08CA03	Isradipine
C08CA04	Nicardipine
C08CA05	Nifedipine
C08CA06	Nimodipine
C08CA07	Nisoldipine
C08CA08	Nitrendipine
C08CA09	Lacidipine
C08CA10	Nilvadipine
C08CA11	Manidipine
C08CA12	Barnipidine
C08CA13	Lercanipidine
C08CA14	Cilnidipine
C08CA55	Nifedipine, combinations
C08CX	Other selective calcium channel blockers with mainly vascular effects
C08CX01	Mibefradil
C08D	Selective calcium channel blockers with direct cardiac effects
C08DA	Phenylalkylamine derivatives
C08DA01	Verapamil
C08DA02	Gallopamil
C08DA51	Verapamil, combinations
C08DB	Benzothiazepine derivatives
C08DB01	Diltiazem
C08E	Non-selective calcium channel blockers
C08EA	Phenylalkylamine derivatives
C08EA01	Fendiline
C08EA02	Bepridil
C08EX	Other non-selective calcium channel blockers
C08EX01	Lidoflazine
C08EX02	Perhexiline
C08G	Calcium channel blockers and diuretics
C08GA	Calcium channel blockers and diuretics
C08GA01	Nifedipine and diuretics
C09	Agents acting on the renin-angiotensin system
C09A	ACE inhibitors, plain
C09AA	ACE inhibitors, plain
C09AA01	Captopril
C09AA02	Enalapril
C09AA03	Lisinopril
C09AA04	Perindopril
C09AA05	Ramipril
C09AA06	Quinapril
C09AA07	Benazepril
C09AA08	Cilazapril
C09AA09	Fosinopril
C09AA10	Trandolapril
C09AA11	Spirapril
C09AA12	Delapril
C09AA13	Moexipril
C09AA14	Temocapril
C09AA15	Zofenopril
C09AA16	Imidapril
C09B	ACE inhibitors, combinations
C09BA	ACE inhibitors and diuretics
C09BA01	Captopril and diuretics
C09BA02	Enalapril and diuretics
C09BA03	Lisinopril and diuretics
C09BA04	Perindopril and diuretics
C09BA05	Ramipril and diuretics
C09BA06	Quinapril and diuretics
C09BA07	Benazepril and diuretics
C09BA08	Cilazapril and diuretics
C09BA09	Fosinopril and diuretics
C09BA12	Delapril and diuretics
C09BA13	Moexipril and diuretics
C09BB	ACE inhibitors and calcium channel blockers
C09BB05	Ramipril and calcium channel blockers
C09BB10	Trandolapril and calcium channel blockers
C09C	Angiotensin II antagonists, plain
C09CA	Angiotensin II antagonists, plain
C09CA01	Losartan
C09CA02	Eprosartan
C09CA03	Valsartan
C09CA04	Irbesartan
C09CA05	Tasosartan
C09CA06	Candesartan
C09CA07	Telmisartan
C09D	Angiotensin II antagonists, combinations
C09DA	Angiotensin II antagonists and diuretics
C09DA01	Losartan and diuretics
C09DA03	Valsartan and diuretics
C09DA04	Irbesartan and diuretics
C09DA06	Candesartan and diuretics
C09X	Other agents acting on the renin-angiotensin system
C09XA	Renin-inhibitors
C09XA01	Remikiren
C10	Serum lipid reducing agents
C10A	Cholesterol and triglyceride reducers
C10AA	HMG CoA reductase inhibitors
C10AA01	Simvastatin
C10AA02	Lovastatin
C10AA03	Pravastatin
C10AA04	Fluvastatin
C10AA05	Atorvastatin
C10AA06	Cerivastatin
C10AB	Fibrates
C10AB01	Clofibrate
C10AB02	Bezafibrate
C10AB03	Aluminium clofibrate
C10AB04	Gemfibrozil
C10AB05	Fenofibrate
C10AB06	Simifibrate
C10AB07	Ronifibrate
C10AB08	Ciprofibrate
C10AB09	Etofibrate
C10AB10	Clofibride
C10AC	Bile acid sequestrants
C10AC01	Colestyramine
C10AC02	Colestipol
C10AC03	Detaxtran
C10AD	Nicotinic acid and derivatives
C10AD01	Niceritrol
C10AD02	Nicotinic acid
C10AD03	Nicofuranose
C10AD04	Aluminium nicotinate
C10AD05	Nicotinyl alcohol (pyridylcarbinol)
C10AD06	Acipimox
C10AX	Other cholesterol and triglyceride reducers
C10AX01	Dextrothyroxine
C10AX02	Probucol
C10AX03	Tiadenol
C10AX04	Benfluorex
C10AX05	Meglutol
C10AX06	Omega-3-triglycerides
C10AX07	Magnesium pyridoxal 5-phosphate glutamate
C10AX08	Policosanol
D	Dermatologicals
D01	Antifungals for dermatological use
D01A	Antifungals for topical use
D01AA	Antibiotics
D01AA01	Nystatin
D01AA02	Natamycin
D01AA03	Hachimycin
D01AA04	Pecilocin
D01AA06	Mepartricin
D01AA07	Pyrrolnitrin
D01AA08	Griseofulvin
D01AA20	Combinations
D01AC	Imidazole and traizole derivatives
D01AC01	Clotrimazole
D01AC02	Miconazole
D01AC03	Econazole
D01AC04	Clomidazole
D01AC05	Isoconazole
D01AC06	Tiabendazole
D01AC07	Tioconazole
D01AC08	Ketoconazole
D01AC09	Sulconazole
D01AC10	Bifonazole
D01AC11	Oxiconazole
D01AC12	Fenticonazole
D01AC13	Omoconazole
D01AC14	Sertaconazole
D01AC15	Fluconazole
D01AC16	Flutrimazole
D01AC20	Combinations
D01AC52	Miconazole, combinations
D01AC60	Bifonazole, combinations
D01AE	Other antifungals for topical use
D01AE01	Bromochlorosalicylanilide
D01AE02	Methylrosaniline
D01AE03	Tribromometacresol
D01AE04	Undecylenic acid
D01AE05	Polynoxylin
D01AE06	2-(4-chlorphenoxy)-ethanol
D01AE07	Chlorphenesin
D01AE08	Ticlatone
D01AE09	Sulbentine
D01AE10	Ethyl hydroxybenzoate
D01AE11	Haloprogin
D01AE12	Salicylic acid
D01AE13	Selenium sulfide
D01AE14	Ciclopirox
D01AE15	Terbinafine
D01AE16	Amorolfine
D01AE17	Dimazole
D01AE18	Tolfnaftate
D01AE19	Tolciclate
D01AE20	Combinations
D01AE21	Flucytosine
D01AE22	Naftifine
D01B	Antifungals for systemic use
D01BA	Antifungals for systemic use
D01BA01	Griseofulvin
D01BA02	Terbinafine
D02	Emollients and protectives
D02A	Emollients and protectives
D02AA	Silicone products
D02AB	Zinc products
D02AC	Soft paraffin and fat products
D02AD	Liquid plasters
D02AE	Carbamide products
D02AE01	Carbamide
D02AE51	Carbamide, combinations
D02AF	Salicylic acid preparations
D02AX	Other emollients and protectives
D02B	Protectives against UV-radiation
D02BA	Protectives against UV-radiation for topical use
D02BA01	Aminobenzoic acid
D02BA02	Octyl methoxycinnamate
D02BB	Protectives against UV-radiation for systemic use
D02BB01	Betacarotene
D03	Preparations for treatment of wounds and ulcers
D03A	Cicatrizants
D03AA	Cod-liver oil ointments
D03AX	Other cicatrizants
D03AX01	Cadexomer iodine
D03AX02	Dextranomer
D03AX03	Dexpanthenol
D03AX04	Calcium pantothenate
D03AX05	Hyaluronic acid
D03AX06	Becaplermin
D03AX07	Glyceryl trinitrate
D03AX08	Isosorbide dinitrate
D03AX09	Crilanomer
D03B	Enzymes
D03BA	Proteolytic enzymes
D03BA01	Trypsin
D03BA02	Clostridiopeptidase
D03BA52	Clostridiopeptidase, combinations
D04	Antipruritics, incl. antihistamines, anesthetics, etc.
D04A	Antipruritics, incl. antihistamines, anesthetics, etc.
D04AA	Antihistamines for topical use
D04AA01	Thonzylamine
D04AA02	Mepyramine
D04AA03	Thenalidine
D04AA04	Tripelennamine
D04AA09	Chloropyramine
D04AA10	Promethazine
D04AA12	Tolpropamine
D04AA13	Dimetindene
D04AA14	Clemastine
D04AA15	Bamipine
D04AA22	Isothipendyl
D04AA32	Diphenhydramine
D04AA33	Diphenhydramine methylbromide
D04AA34	Chlorphenoxamine
D04AB	Anesthetics for topical use
D04AB01	Lidocaine
D04AB02	Cinchocaine
D04AB03	Oxybuprocaine
D04AB04	Benzocaine
D04AB05	Quinisocaine
D04AB06	Tetracaine
D04AB07	Pramocaine
D04AX	Other antipruritics
D05	Antipsoriatics
D05A	Antipsoriatics for topical use
D05AA	Tars
D05AC	Antracen derivatives
D05AC01	Dithranol
D05AC51	Dithranol, combinations
D05AD	Psoralens for topical use
D05AD01	Trioxysalen, topical
D05AD02	Methoxsalen, topical
D05AX	Other antipsoriatics for topical use
D05AX01	Fumaric acid
D05AX02	Calcipotriol
D05AX03	Calcitriol
D05AX04	Tacalcitol
D05AX05	Tazarotene
D05B	Antipsoriatics for systemic use
D05BA	Psoralens for systemic use
D05BA01	Trioxysalen
D05BA02	Methoxsalen
D05BA03	Bergapten
D05BB	Retinoids for treatment of psoriasis
D05BB01	Etretinate
D05BB02	Acitretin
D05BX	Other antipsoriatics for systemic use
D05BX51	Fumaric acid derivatives, combinations
D06	Antibiotics and chemotherapeutics for dermatological use
D06A	Antibiotics for topical use
D06AA	Tetracycline and derivatives
D06AA01	Demeclocycline
D06AA02	Chlortetracycline
D06AA03	Oxytetracycline
D06AA04	Tetracycline
D06AX	Other antibiotics for topical use
D06AX01	Fusidic acid
D06AX02	Chloramphenicol
D06AX04	Neomycin
D06AX05	Bacitracin
D06AX07	Gentamicin
D06AX08	Tyrothricin
D06AX09	Mupirocin
D06AX10	Virginiamycin
D06AX11	Rifaximin
D06AX12	Amikacin
D06B	Chemotherapeutics for topical use
D06BA	Sulfonamides
D06BA01	Silver sulfadiazine
D06BA02	Sulfathiazole
D06BA03	Mafenide
D06BA04	Sulfamethizole
D06BA51	Silver sulfadiazine, combinations
D06BB	Antivirals
D06BB01	Idoxuridine
D06BB02	Tromantadine
D06BB03	Aciclovir
D06BB04	Podophyllotoxin
D06BB05	Inosine
D06BB06	Penciclovir
D06BB07	Lysozyme
D06BB08	Ibacitabine
D06BB09	Edoxudine
D06BB10	Imiquimod
D06BX	Other chemotherapeutics
D06BX01	Metronidazole
D06C	Antibiotics and chemotherapeutics, combinations
D07	Corticosteroids, dermatological preparations
D07A	Corticosteroids, plain
D07AA	Corticosteroids, weak (group I)
D07AA01	Methylprednisolone
D07AA02	Hydrocortisone
D07AA03	Prednisolone
D07AB	Corticosteroids, moderately potent (group II)
D07AB01	Clobetasone
D07AB02	Hydrocortisone butyrate
D07AB03	Flumetasone
D07AB04	Fluocortin
D07AB05	Fluperolone
D07AB06	Fluorometholone
D07AB07	Fluprednidene
D07AB08	Desonide
D07AB09	Triamcinolone
D07AB10	Alclometasone
D07AB11	Hydrocortisone buteprate
D07AB19	Dexamethasone
D07AB21	Clocortolone
D07AB30	Combinations of corticosteroids
D07AC	Corticosteroids, potent (group III)
