"Grouper_id","Grouper","Grouper_Description"
821,"T11","DEHYDRATION"
550,"T26","FEAR, CANCER ENDOCRINE SYSTE"
551,"T27","FEAR, ENDOCRINE/METABOLIC DI"
552,"T29","ENDOCRINE/METAB/NUTRITION SYMP"
553,"T30","MED EXAM/CHECK, FULL ENDO/METAB"
554,"T31","MED EXAM/CHECK, PART, ENDOC/ME"
555,"T70","ENDOCRINE INFECTION"
556,"T71","MALIGNT NEOPLASM THYROID"
557,"T72","BENIGN NEOPLASM THYROID"
558,"T73","NEOPLASM ENDOCR, OTH/UNCERT"
559,"T80","CONGEN ANOM ENDOCR/METABO"
560,"T81","GOITRE"
561,"T82","OBESITY (BMI > 30)"
562,"T83","OVERWEIGHT (BMI < 30)"
563,"T85","HYPERTHYROIDISM/THYROTOXICOSIS"
564,"T86","HYPOTHYROIDISM/MYXOEDEMA"
565,"T87","HYPOGLYCEMIA"
566,"T89","DIABETES, INSULIN DEPENDENT"
567,"T90","DIABETES, NON-INSULIN DEPENDEN"
568,"T91","VITAMIN/NUTRITIONAL DEFICIENCY"
759,"T92","GOUT"
569,"T93","LIPID DISORDER"
570,"T99","ENDOCRINE/METABOLIC/NUTRITIONA"
571,"U01","DYSURIA/PAINFUL URINATION"
572,"U02","URINARY FREQUENCY/URGENCY"
573,"U04","INCONTINENCE, URINE"
574,"U05","URINATION PROBLEMS, OTHER"
575,"U06","HAEMATURIA"
576,"U07","URINE COMPLAINTS, OTHER"
822,"U08","URINARY RETENTION"
577,"U13","BLADDER SYMPT/COMPL, OTHER"
578,"U14","KIDNEY SYMPT/COMPLAINT"
823,"U26","FEAR OF CANCER OF URINARY SYSTEM"
824,"U27","FEAR OF URINARY DISEASE OTHER"
579,"U28","LIMITED FUNCTN/DISABIL URINARY"
580,"U29","URINARY SYMPT/COMPLAINT, OTH"
581,"U30","MED EXAM/CHECK, FULL, URINARY"
582,"U31","MED EXAM/CHECK, PART, URINARY"
583,"U70","PYELONEPHRITIS/PYELITIS"
584,"U71","CYSTITIS/URIN INFECTION, OTHER"
585,"U72","URETHRITIS"
586,"U75","MALIGNT NEOPLASM KIDNEY"
587,"U76","MALIGNT NEOPLASM BLADDER"
588,"U77","MALIGNT NEOPLASM URINARY, OTH"
589,"U78","BENIGN NEOPLASM URINARY TRACT"
590,"U79","NEOPLASM URINARY TRACT NOS"
591,"U80","INJURY URINARY TRACT"
592,"U85","CONGENITAL ANOM URIN TRACT"
593,"U88","GLOMERULONEPHRITIS/NEPHROSIS"
594,"U90","ORTHOSTATIC ALBUMINURIA/PROTEIORTHOSTATIC"
595,"U95","URINARY CALCULUS"
596,"U98","ABNORMAL URINE TEST NOS"
597,"U99","URINARY DISEASE, OTHER"
598,"W01","QUESTION OF PREGNANCY"
599,"W02","FEAR, PREGNANCY"
600,"W03","ANTEPARTUM BLEEDING"
601,"W05","PREGNANCY NAUSEA/VOMITING"
602,"W10","CONTRACEPTION, POSTCOITAL"
603,"W11","CONTRACEPTION, ORAL"
604,"W12","CONTRACEPTION, INTRAUTERINE"
605,"W13","STERILIZATION (F)"
606,"W14","CONTRACEPTION, OTHER"
607,"W15","INFERTILITY/SUBFERTILITY (F)"
608,"W17","POST PARTUM BLEEDING"
609,"W18","POST PARTUM SYMPT/COMPLAINT"
610,"W19","BREAST/LACTATION SYMPT/COMPL, OTHER (F)"
611,"W21","CONCERN, BODY IMAGE RELAT"
612,"W27","FEAR, COMPLICATIONS OF PREGN"
613,"W28","LIMITED FUNCTN/DISABIL PREGNA"
614,"W29","PREGNANCY SYMPT/COMPL, OTH"
615,"W30","MED EXAM/CHECK, FULL, PREG/FP"
616,"W31","MED EXAM/CHECK, PART, PREG/FP"
617,"W70","PUERPERAL INFECTION/SEPSIS"
618,"W71","INFECTION COMPLICAT PREGNAN"
619,"W72","MALIGNT NEOPLASM IN PREGNANCY"
620,"W73","BENIGN/UNCERT NEOPL IN PREGNANC"
621,"W75","INJURY COMPLICATING PREGNANCY"
622,"W76","CONGEN ANOM COMPLICAT PREG"
623,"W78","PREGNANCY"
624,"W79","UNWANTED PREGNANCY"
625,"W80","ECTOPIC PREGNANCY"
626,"W81","TOXAEMIA OF PREGNANCY"
627,"W82","ABORTION, SPONTANEOUS"
628,"W83","ABORTION, INDUCED"
629,"W84","PREGNANCY HIGH RISK"
630,"W85","GESTATIONAL DIABETES"
631,"W90","UNCOMPLICATE DELIVER, LIVEBIRT"
632,"W91","UNCOMPLICATE DELIVER, STILLBIRT"
633,"W92","COMPLICATE DELIVERY, LIVEBIRTH"
634,"W93","COMPLICATE DELIVERY, STILLBIRT"
635,"W94","PUERPERAL MASTITIS"
636,"W95","BREAST DISORDER IN PREG/PUERPER"
637,"W96","COMPLICATE,  PUERPERIUM, OTHE"
638,"W99","DISORDERS, PREGNANCY/DELIVER"
639,"X01","PAIN, GENITAL (F)"
640,"X02","PAIN, MENSTRUAL"
641,"X03","PAIN, INTERMENSTRUAL"
642,"X04","PAINFUL INTERCOURSE (F)"
643,"X05","MENSTRUATION ABSENT/SCANTY"
644,"X06","MENSTRUATION EXCESSIVE"
645,"X07","MENSTRUATION IRREGULAR/FREQUEN"
646,"X08","INTERMENSTRUAL BLEEDING"
647,"X09","PREMENSTRUAL SYMPT/COMPLAINT"
648,"X10","POSTPONE  MENSTRUATION"
649,"X11","MENOPAUSAL SYMPT/COMPLAINT"
650,"X12","POSTMENOPAUSAL BLEEDING"
651,"X13","POSTCOITAL BLEEDING"
652,"X14","VAGINAL DISCHARGE"
653,"X15","VAGINAL SYMPT/COMPLAINT, OTH"
654,"X16","VULVAL SYMPT/COMPLAINT"
655,"X17","PELVIS SYMPT/COMPLAINT (F)"
656,"X18","PAIN, BREAST (F)"
657,"X19","BREAST LUMP/MASS (F)"
658,"X20","NIPPLE SYMPT/COMPLAINT(F)"
659,"X21","BREAST SYMPT/COMPL, OTHER (F)"
660,"X22","CONCERN, BREAST APPEARANCE"
661,"X23","FEAR, SEXUALLY TRANSMITTED DISEASE (F)"
662,"X24","FEAR, SEXUAL DYSFUNCTION (F)"
663,"X25","FEAR, CANCER GENITAL (F)"
664,"X26","FEAR, CANCER BREAST(F)"
665,"X27","FEAR, GENITAL/BREAST DISEASE"
666,"X28","LIMITED FUNCTN/DISABIL GENIT (F)"
667,"X29","GENITAL SYMPT/COMP, OTH (F)"
668,"X30","MED EXAM/CHECK, FULL, GENIT (F)"
669,"X31","MED EXAM/CHECK,PART,GENITO (F)"
670,"X37","CYTOLOGY ( F)"
671,"X70","SYPHILIS (F)"
672,"X71","GONORRHOEA (F)"
673,"X72","GENITAL CANDIDIASIS (F)"
674,"X73","GENITAL TRICHOMONIASIS (F)"
675,"X74","PELVIC INFLAMMATORY DISEASE"
676,"X75","MALIGNT NEOPLASM CERVIX"
677,"X76","MALIGNT NEOPLASM BREAST (F)"
678,"X77","MALIGNANT NEOPLASM GENITAL OTHER (F)"
679,"X78","FIBROMYOMA UTERUS"
680,"X79","BENIGN NEOPLASM BREAST (F)"
681,"X80","BENIGN NEOPLASM GENITAL (F)"
682,"X81","NEOPLASM UNCERTAIN GENITAL (F)"
683,"X82","INJURY GENITAL (F)"
684,"X83","CONGENITAL ANOM GENITAL (F)"
685,"X84","VAGINITIS/VULVITIS NOS"
686,"X85","CERVICAL DISEASE NOS"
687,"X86","ABNORMAL PAP SMEAR"
688,"X87","UTEROVAGINAL PROLAPSE"
689,"X88","FIBROCYSTIC DISEASE BREAST"
690,"X89","PREMENSTRUAL TENSION SYNDROME"
691,"X90","GENITAL HERPES (F)"
692,"X91","CONDYLOMATA ACUMINATA (F)"
693,"X92","CHLAMYDIA INFECTION, GENITAL (F))"
694,"X99","GENITAL DISEASE, OTHER (F)"
695,"Y01","PAIN, PENIS"
696,"Y02","PAIN, TESTIS/SCROTUM"
697,"Y03","URETHRAL DISCHARGE (M)"
698,"Y04","PENIS SYMPT/COMPLAINT"
699,"Y05","SCROTUM/TESTIS SYMPT/COMPLAI"
700,"Y06","PROSTATE SYMPT/COMPLAINT"
701,"Y07","IMPOTENCE NOS"
702,"Y08","SEXUAL FUNCTN SYMPT/COMPLA"
703,"Y10","INFERTILITY/SUBFERTILITY (M)"
704,"Y13","STERILISATION (M)"
705,"Y14","FAMILY PLANNING, OTHER (M)"
706,"Y16","BREAST SYMPT/COMPL (M)"
707,"Y24","FEAR, SEXUAL DYSFUNCTION (M)"
708,"Y25","FEAR, SEXUALLY TRANSMITTED DISEASE (M)"
709,"Y26","FEAR, CANCER GENITAL (M)"
710,"Y27","FEAR, GENITAL DISEASE, OTHER"
711,"Y28","LIMITED FUNCTN/DISABIL GENITAL (M)"
712,"Y29","GENITAL SYMPT/COMPLAINT, OTH (M)"
713,"Y30","MED EXAM/CHECK, FULL, GENIT (M)"
714,"Y31","MED EXAM/CHECK,PART,GENITO (M)"
715,"Y70","SYPHILIS (M)"
716,"Y71","GONORRHOEA (MA)"
825,"Y72","GENITAL HERPES MALE"
717,"Y73","PROSTATITIS/SEMINAL VESICULITI"
718,"Y74","ORCHITIS/EPIDIDYMITIS"
719,"Y75","BALANITIS"
720,"Y76","CONDYLOMATA ACUMINATA (M)"
721,"Y77","MALIGNT NEOPLASM PROSTATE"
722,"Y78","MALIGNANT NEOPLASM GENITAL OTHER (M)"
723,"Y79","BENIGN/UNCERT NEOPL MALE GENITA"
724,"Y80","INJURY GENITAL (M)"
725,"Y81","PHIMOSIS/REDUNDANT PREPUCE"
726,"Y82","HYPOSPADIA"
727,"Y83","UNDESCENDED TESTICLE"
728,"Y84","CONGENITAL ANOM GENITAL (M)"
729,"Y85","BENIGN PROSTATIC HYPERTROPHY"
730,"Y86","HYDROCOELE"
731,"Y99","GENITAL DISEASE, OTHER (M)"
732,"Z01","POVERTY/FINANCIAL PROBLEM"
733,"Z02","FOOD AND WATER PROBLEM"
734,"Z03","HOUSING/NEIGHBORHOOD PROBLEM"
735,"Z04","SOCIAL CULTURAL PROBLEM"
736,"Z05","WORK PROBLEM"
737,"Z06","UNEMPLOYMENT PROBLEM"
738,"Z07","EDUCATION PROBLEM"
739,"Z08","SOCIAL WELFARE PROBLEM"
740,"Z09","LEGAL PROBLEM"
741,"Z10","HEALTH CARE SYSTEM PROBLEM"
742,"Z11","COMPLIANCE/BEING ILL PROBLEM"
743,"Z12","RELATIONSHIP PROBLEM, PARTNERS"
744,"Z13","PARTNER BEHAVIOUR PROBLEM"
745,"Z14","PARTNER ILLNESS PROBLEM"
746,"Z15","LOSS/DEATH, PARTNER"
747,"Z16","RELATIONSHIP PROBLEM, CHILD"
748,"Z18","ILLNESS PROBLEM WITH CHILD"
749,"Z19","LOSS/DEATH, CHILD"
750,"Z20","RELATIONSHIP PROBLEM, PARENT/F"
751,"Z21","BEHAVIOR PROBLEM, PARENT/FAMIL"
752,"Z22","ILLNESS PROBLEM, PARENT/FAMILY"
753,"Z23","LOSS/DEATH, PARENT/FAM MEMB"
754,"Z24","RELATIONSHIP PROBLEM, FRIENDS"
755,"Z25","ASSAULT/HARMFUL EVENT"
756,"Z27","FEAR, SOCIAL PROBLEM"
757,"Z28","SOCIAL HANDICAP"
758,"Z29","SOCIAL PROBLEM NOS"
